N,density,threads,repeats,sample_id,gemm_time_s,spmm_time_s,nnz,bw_stream_GBs
384,0.01,6,3,22,0.001202,0.000184,1494,27.377
384,0.01,6,3,23,0.001314,0.000178,1494,27.377
384,0.01,6,3,24,0.001200,0.000259,1494,27.377
384,0.01,6,3,25,0.001428,0.000162,1494,27.377
512,0.01,6,3,1,0.002542,0.000322,2579,27.377
512,0.01,6,3,2,0.002958,0.000279,2579,27.377
512,0.01,6,3,3,0.002926,0.000231,2579,27.377
512,0.01,6,3,4,0.002642,0.000317,2579,27.377
512,0.01,6,3,5,0.002609,0.000312,2579,27.377
512,0.01,6,3,6,0.002655,0.000370,2579,27.377
512,0.01,6,3,7,0.002745,0.000228,2579,27.377
512,0.01,6,3,8,0.002711,0.000265,2579,27.377
512,0.01,6,3,9,0.002748,0.000313,2579,27.377
512,0.01,6,3,10,0.002610,0.000273,2579,27.377
512,0.01,6,3,11,0.002802,0.000323,2579,27.377
512,0.01,6,3,12,0.002676,0.000270,2579,27.377
512,0.01,6,3,13,0.002700,0.000327,2579,27.377
512,0.01,6,3,14,0.002815,0.000289,2579,27.377
512,0.01,6,3,15,0.002662,0.000347,2579,27.377
512,0.01,6,3,16,0.002620,0.000392,2579,27.377
512,0.01,6,3,17,0.002856,0.000368,2579,27.377
512,0.01,6,3,18,0.002641,0.000291,2579,27.377
512,0.01,6,3,19,0.002671,0.000302,2579,27.377
512,0.01,6,3,20,0.002819,0.000341,2579,27.377
512,0.01,6,3,21,0.002625,0.000307,2579,27.377
512,0.01,6,3,22,0.002743,0.000250,2579,27.377
512,0.01,6,3,23,0.002784,0.000327,2579,27.377
512,0.01,6,3,24,0.002754,0.000360,2579,27.377
512,0.01,6,3,25,0.002666,0.000348,2579,27.377
768,0.01,6,3,1,0.006568,0.000213,5838,27.377
768,0.01,6,3,2,0.007547,0.000688,5838,27.377
768,0.01,6,3,3,0.007224,0.000568,5838,27.377
768,0.01,6,3,4,0.007467,0.000617,5838,27.377
768,0.01,6,3,5,0.006903,0.000599,5838,27.377
768,0.01,6,3,6,0.007285,0.000582,5838,27.377
