kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,scalar,f64,2097152,1,aligned,0,0.000824877,9,
saxpy,simd,f64,2097152,1,aligned,0,0.000751268,0,
saxpy,simd,f64,2097152,1,aligned,0,0.000616350,1,
saxpy,simd,f64,2097152,1,aligned,0,0.000621930,2,
saxpy,simd,f64,2097152,1,aligned,0,0.000633171,3,
saxpy,simd,f64,2097152,1,aligned,0,0.000630670,4,
saxpy,simd,f64,2097152,1,aligned,0,0.000634960,5,
saxpy,simd,f64,2097152,1,aligned,0,0.000643310,6,
saxpy,simd,f64,2097152,1,aligned,0,0.000647269,7,
saxpy,simd,f64,2097152,1,aligned,0,0.000662060,8,
saxpy,simd,f64,2097152,1,aligned,0,0.000635380,9,
saxpy,scalar,f64,5242880,1,aligned,0,0.002258995,0,
saxpy,scalar,f64,5242880,1,aligned,0,0.002192684,1,
saxpy,scalar,f64,5242880,1,aligned,0,0.002194585,2,
saxpy,scalar,f64,5242880,1,aligned,0,0.002214395,3,
saxpy,scalar,f64,5242880,1,aligned,0,0.002231006,4,
saxpy,scalar,f64,5242880,1,aligned,0,0.002215195,5,
saxpy,scalar,f64,5242880,1,aligned,0,0.002226105,6,
saxpy,scalar,f64,5242880,1,aligned,0,0.002214455,7,
saxpy,scalar,f64,5242880,1,aligned,0,0.002225375,8,
saxpy,scalar,f64,5242880,1,aligned,0,0.002228325,9,
saxpy,simd,f64,5242880,1,aligned,0,0.001998078,0,
saxpy,simd,f64,5242880,1,aligned,0,0.002000858,1,
saxpy,simd,f64,5242880,1,aligned,0,0.001986778,2,
saxpy,simd,f64,5242880,1,aligned,0,0.001967359,3,
saxpy,simd,f64,5242880,1,aligned,0,0.001970719,4,
saxpy,simd,f64,5242880,1,aligned,0,0.002000298,5,
saxpy,simd,f64,5242880,1,aligned,0,0.001992459,6,
saxpy,simd,f64,5242880,1,aligned,0,0.001988838,7,
saxpy,simd,f64,5242880,1,aligned,0,0.002008549,8,
saxpy,simd,f64,5242880,1,aligned,0,0.002019648,9,
dot,scalar,f32,512,1,aligned,0,0.000000500,0,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000440,1,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,2,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,3,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,4,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000411,5,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000411,6,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000420,7,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,8,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,9,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000490,0,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000450,1,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000420,2,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,3,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,4,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000411,5,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,6,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,7,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,8,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000420,9,-15.139647836348793
dot,scalar,f32,1024,1,aligned,0,0.000000890,0,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000849,1,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000810,2,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000810,3,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,4,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,5,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,6,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,7,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000809,8,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000809,9,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000001021,0,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000849,1,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000810,2,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000800,3,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000800,4,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000810,5,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000809,6,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000810,7,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000809,8,-19.998422534070617
dot,simd,f32,1024,1,aligned,0,0.000000810,9,-19.998422534070617
dot,scalar,f32,30720,1,aligned,0,0.000023740,0,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023679,1,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023650,2,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023658,3,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023659,4,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023658,5,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023650,6,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023650,7,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000029759,8,-61.581593636500529
dot,scalar,f32,30720,1,aligned,0,0.000023650,9,-61.581593636500529
dot,simd,f32,30720,1,aligned,0,0.000023739,0,-61.581593636500529
dot,simd,f32,30720,1,aligned,0,0.000023680,1,-61.581593636500529
